OmiqID,Filename,Type,Treatment,Condition,Batch
F156756490591483,Batch1B__Clean_Burn_CpG4.fcs,Clean,CpG,Burn,2
F226746943456111,Batch1B__Clean_Burn_CpG5.fcs,Clean,CpG,Burn,2
F82085049001779,Batch1B__Clean_Burn_GpC3.fcs,Clean,GpC,Burn,2
F119947154314871,Batch1B__Clean_Burn_GpC4.fcs,Clean,GpC,Burn,2
F152036747937066,Batch1B__Clean_Burn_GpC5.fcs,Clean,GpC,Burn,2
F224226928646107,Batch1B__Clean_CpG3.fcs,Clean,CpG,NA,2
F257691021641779,Batch1B__Clean_CpG4.fcs,Clean,CpG,NA,2
F12858201386544,Batch1B__Clean_CpG5.fcs,Clean,CpG,NA,2
F48246566257904,Batch1B__Clean_GpC4.fcs,Clean,GpC,NA,2
F114938998702574,Batch1B__Clean_GpC5.fcs,Clean,GpC,NA,2
F236635185529509,Batch1B__Dirty_Burn_CpG4.fcs,Natural Immune,CpG,Burn,2
F272023333163186,Batch1B__Dirty_Burn_CpG5.fcs,Natural Immune,CpG,Burn,2
F26211112356392,Batch1B__Dirty_Burn_GpC3.fcs,Natural Immune,GpC,Burn,2
F92903716014539,Batch1B__Dirty_Burn_GpC4.fcs,Natural Immune,GpC,Burn,2
F128292264119913,Batch1B__Dirty_Burn_GpC5.fcs,Natural Immune,GpC,Burn,2
F162735406261478,Batch1B__Dirty_CpG3.fcs,Natural Immune,CpG,NA,2
F198398302108963,Batch1B__Dirty_CpG4.fcs,Natural Immune,CpG,NA,2
F268389328744536,Batch1B__Dirty_CpG5.fcs,Natural Immune,CpG,NA,2
F123728560323902,Batch1B__Dirty_GpC4.fcs,Natural Immune,GpC,NA,2
F160491139985774,Batch1B__Dirty_GpC5.fcs,Natural Immune,GpC,NA,2
F230482821156825,Mu_CyTOF_Run1_Clean_Burn_CpG1.fcs,Clean,CpG,Burn,1
F265870357665958,Mu_CyTOF_Run1_Clean_Burn_CpG2.fcs,Clean,CpG,Burn,1
